| 2017_Dec_07 | Ed Wood | Mike, Jay | http://redlettermedia.com/ed-wood-review/, https://www.youtube.com/watch?v=Rm09nLK-Pg8, https://twitter.com/redlettermedia/status/938901249516326914
| 2018_Jan_08 | Star Trek Discovery mid-season | Mike, Rich | http://redlettermedia.com/star-trek-discovery-mid-season-review/, https://www.youtube.com/watch?v=DpHbLewg79c, https://twitter.com/redlettermedia/status/950410529318809600
| 2018_Feb_05 | Pink Flamingos | Jay, Josh | http://redlettermedia.com/pink-flamingos-review/, https://www.youtube.com/watch?v=xKiYBoIgGAc, https://twitter.com/redlettermedia/status/960505125390422016
| 2018_Feb_20 | Star Trek Discovery Season 1 | Mike, Jay | http://redlettermedia.com/star-trek-discovery-season-1-review/, https://www.youtube.com/watch?v=ri7v-utIcvY, https://twitter.com/redlettermedia/status/965972127533891585
| 2018_Mar_24 | Freddy Got Fingered | Mike, Jay | http://redlettermedia.com/freddy-got-fingered-review/, https://www.youtube.com/watch?v=gEn3wcpNsg8, https://twitter.com/redlettermedia/status/977536006307139584
| 2018_May_11 | The Guest | Jay, Simon Barrett | http://redlettermedia.com/the-guest-review/, https://www.youtube.com/watch?v=oAQe1NEeXBc, https://twitter.com/redlettermedia/status/994953666955182081
| 2018_May_24 | Critters | Mike, Jay | http://redlettermedia.com/critters-review/, https://www.youtube.com/watch?v=OvcYqeukasM, https://twitter.com/redlettermedia/status/999767980002152448
| 2018_Jul_13 | John Carpenter's The Thing | Jay, Colin | http://redlettermedia.com/the-thing-review/, https://www.youtube.com/watch?v=wSFXYKl_rf0, https://twitter.com/redlettermedia/status/1017739700696702977
| 2018_Jul_25 | Strange Brew | Jim, Colin | http://redlettermedia.com/strange-brew-review/, https://www.youtube.com/watch?v=nRJathIYgLQ, https://twitter.com/redlettermedia/status/1022088742960607233
| 2018_Aug_23 | Predator | Jay, Jack | http://redlettermedia.com/predator-review/, https://www.youtube.com/watch?v=ruMLUFmSO4k, https://twitter.com/redlettermedia/status/1032754043712663553
| 2018_Sep_11 | Star Trek: Galaxy | Mike, Rich | http://redlettermedia.com/star-trek-galaxy-review/, https://www.youtube.com/watch?v=xe1hKZjCVyM, https://twitter.com/redlettermedia/status/1039680865532555264
| 2018_Oct_02 | The Psycho Franchise (Part 1) | Jay, Josh | http://redlettermedia.com/the-psycho-franchise-review-part-1-of-2/, https://www.youtube.com/watch?v=adGebPmRjxg, https://twitter.com/redlettermedia/status/1047240281404461059
